0,1,2,3,4,5,6,7,8,9,10,11,12
-612.38586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-612.38586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-597.26556,19.66196,15.475082,10.950401,7.87948,6.865419,7.2745457,7.7803144,7.369426,6.0662355,4.676258,4.05348,4.6514196
-570.60114,43.798126,19.525883,11.475193,11.042847,6.8034096,5.270994,7.7984667,8.147432,8.213109,9.022354,6.385231,5.638814
-558.11115,50.28112,13.8493,9.42803,13.808262,9.179922,6.037264,7.2336736,7.891139,7.960761,8.334791,5.003889,2.010324
-552.0424,52.070656,8.538754,4.654727,12.147892,12.457099,8.591948,5.5309052,7.8737354,8.871244,8.0879,4.9045,-0.96442366
-553.7945,47.269115,5.8898373,5.4665976,10.3007765,14.129628,13.497929,6.5646176,7.631703,6.0006003,3.854155,5.255923,1.3778193
-549.2292,45.27855,4.724303,13.086348,10.186283,13.370173,16.962166,2.5717936,2.285431,1.9406105,-2.0397894,4.3161583,3.1055222
-535.2545,48.29975,-1.8891205,14.768601,5.836673,10.644968,22.109833,0.9158163,-0.05041744,1.9528317,-5.946319,5.365981,7.521983
-519.02,44.950714,-16.78574,17.61342,6.798006,7.7871604,23.052795,-3.3166335,-8.46112,5.2643766,0.3152558,11.047844,9.824037
-493.12994,37.511513,-28.758959,27.630959,-0.37121505,2.7123992,31.907387,-5.3703947,-24.56517,12.496187,1.971585,13.998908,23.162117
-467.76898,27.262922,-40.74843,34.10383,-10.044231,0.97403777,40.14315,-1.5964445,-36.74383,17.96873,-0.98895854,5.4629083,26.936604
-462.13977,24.621128,-51.585922,26.307928,-13.983545,3.7088964,40.569763,-1.8349929,-33.150146,19.28453,-1.4032391,-0.2906519,19.649515
-472.774,30.276283,-44.277893,22.265188,-7.598947,12.609399,33.815548,-5.159254,-25.60147,15.064748,5.590644,4.7885394,14.314142
-482.76144,42.439274,-24.627892,22.878735,-9.527173,8.321142,28.014162,-7.90335,-25.329815,13.45686,7.7355986,5.823848,13.285705
-495.45642,51.571594,-19.547909,14.886848,-4.7404017,3.1210132,19.16235,-10.699045,-15.938239,12.583543,-0.8347535,3.6046867,8.837744
-513.7693,54.75859,-10.938829,5.6953893,-2.291976,2.714672,15.083803,-2.6122742,-4.1036077,11.13675,-2.9998,6.029413,7.301702
-539.05145,51.08761,7.0235577,1.0564635,-5.4981337,-1.0783881,6.325436,5.630707,5.281064,14.260465,-1.4711449,2.3369317,1.9772352
-559.9197,43.931396,13.4681835,2.6187532,1.0165615,2.4776952,0.9027501,3.0700681,4.8563848,11.514362,3.2085712,0.57718396,-1.6920884
-573.17065,41.341698,18.098545,7.7734947,6.7348614,4.4413395,1.8270427,1.2805047,1.9686242,5.6936693,6.882841,3.4968085,2.612055
-571.6183,43.386856,20.073822,7.681525,4.515829,3.617836,5.2979555,7.635524,7.022293,9.637216,9.997486,3.8793921,-0.87346077
-570.6425,44.58719,21.43272,8.409874,4.3726177,2.60209,4.7682867,9.558097,10.992298,11.883211,7.6380434,0.5555157,-3.226983
-574.04816,41.634434,19.692177,8.408018,4.768325,2.1669004,4.900381,11.956797,14.192932,9.519802,2.9716475,-1.1638204,0.27163327
-574.2641,39.24656,15.81525,6.2990923,2.7631478,-1.6749809,2.4741135,12.64193,14.822288,9.790197,4.6927366,0.0070558786,-2.3892007
-577.2363,35.7996,13.562813,4.3159003,2.1161213,-0.3110556,3.3712535,11.205021,12.353262,9.341785,6.510767,2.0963578,-2.2917547
-581.54095,32.184933,13.364167,4.5491867,2.8594298,2.2404478,4.5566607,8.456146,10.007938,11.65501,10.192983,3.5362256,-0.17394418
-581.46313,33.590363,16.118544,5.957408,2.3765795,1.6874369,5.4319153,11.084712,12.0090885,9.160434,3.7943082,-0.7140846,-0.20077395
-582.186,33.31913,16.132402,5.185354,0.42627606,0.30781767,5.574107,9.702972,7.4568844,3.4940693,0.80221564,-2.428443,-3.845332
-580.72644,33.515358,14.535984,6.1705985,4.5875325,2.168856,2.10464,5.114276,6.42013,6.495191,7.1448593,5.156954,0.6523849
-579.8979,34.023674,13.871281,5.2696404,4.2916656,1.7408181,0.53723955,3.3616877,6.643508,8.392553,7.7244368,3.7804265,0.31119338
-574.3935,38.25616,14.5358925,6.1402903,4.871155,2.7385764,6.080084,10.944928,8.298411,4.5411887,1.1429199,-5.055279,-6.5588365
-567.66034,46.474384,19.769527,9.263838,5.4484854,0.62256336,3.5421195,9.531326,8.485559,5.6298213,3.3370028,-2.5439067,-3.3976066
-565.7384,49.957634,23.962824,13.109776,9.086818,2.8625479,1.3893638,3.7672138,4.067442,4.607787,3.2553968,-3.8198524,-6.837782
-539.0721,84.34053,47.622467,21.670387,8.111533,-2.013002,-11.314207,-15.586749,-13.172639,-7.2554083,-3.5434315,-6.398715,-9.186998
-505.48907,115.894135,51.78382,14.718603,5.2914753,-2.0752375,-16.67398,-27.545439,-28.467434,-21.142754,-8.930689,-2.914195,-5.656512
-497.29312,127.33469,61.59623,22.323303,10.842903,0.830776,-15.627836,-28.866121,-32.15655,-23.998585,-8.431525,0.513067,-3.9436002
-505.217,123.556915,68.856895,30.788717,13.867262,1.6357586,-12.413637,-26.11149,-31.795328,-21.746426,-5.020679,-0.04661703,-8.135647
-509.59192,106.820816,49.96821,30.534132,20.197777,3.4984,-7.495407,-15.051558,-20.685326,-21.507185,-18.318848,-15.23432,-15.443405
-433.33737,137.20093,35.5686,36.239834,19.460972,-11.791023,-25.701113,-32.902103,-27.19279,-4.2046747,-17.828909,-9.740372,-7.3122125
-330.7534,167.69417,3.4277177,26.856445,4.7174044,-23.92262,-33.969486,-49.22542,-45.05741,6.8596535,-14.9191,5.900941,-16.84376
-285.4452,168.23837,-21.644466,30.2807,-4.795956,-32.12023,-31.608595,-57.767998,-44.35883,17.12247,-19.990477,11.276005,-20.128178
-276.7067,155.34576,-35.395985,38.97473,-9.589893,-38.367954,-26.338503,-45.468052,-29.26142,21.571712,-19.682938,11.682446,-21.95062
-283.5302,139.0903,-41.986046,46.081635,-10.673269,-47.661568,-28.962746,-29.7692,-18.877554,19.479332,-23.315006,7.5510244,-21.22556
-291.58853,121.75581,-44.935074,52.871925,-9.699091,-54.199707,-30.22535,-22.677189,-22.482323,20.144543,-31.346178,9.047295,-16.085976
-296.2737,113.65303,-41.205666,69.34397,-8.678476,-62.287704,-29.007317,-20.340096,-21.855598,17.20797,-34.601326,9.869209,-19.270756
-310.88388,110.92047,-28.541588,80.78755,-10.905687,-67.77681,-25.537971,-17.560932,-25.066088,9.54928,-25.584387,12.993372,-23.05738
-329.13782,105.61235,-16.468254,96.48439,-14.135329,-75.54013,-20.43205,-15.418827,-27.513813,5.489614,-16.836273,11.034645,-22.274975
-347.7799,93.19237,-7.0976353,113.640976,-16.36864,-86.53876,-21.669567,-11.596563,-23.689575,8.133144,-18.527313,6.0274615,-21.666794
-361.33267,86.94644,-2.9169245,109.819595,-19.164206,-84.922455,-16.980839,-6.231351,-25.41404,10.452267,-14.834662,2.9529364,-22.942514
-371.19937,86.43434,-1.0684628,105.812195,-18.202864,-80.89065,-5.950068,-0.24876237,-24.744423,7.884635,-18.643608,5.0795393,-17.888859
-381.76758,92.35858,7.280083,102.14885,-19.629387,-79.73949,1.5235844,3.8045557,-26.834742,3.1175797,-25.505306,-1.0844138,-21.583923
-381.60806,94.16259,15.045741,97.542206,-18.641125,-57.227158,-2.446941,5.019423,-19.978714,-4.3594,-24.516647,-1.9680068,-15.204676
-387.9662,90.475555,21.026882,92.66013,-12.202108,-27.14634,-4.0497746,-4.5292983,-8.745532,3.7000313,-27.182451,-1.6681315,0.72979295
-404.03177,103.3161,36.038387,88.096504,0.8761115,-22.705402,-14.709539,-22.71711,-20.414791,2.3079093,-30.609818,-1.815314,8.25963
-412.5918,122.92886,36.8926,79.54175,5.0790625,-36.181038,-17.452501,-30.101925,-32.309483,-5.627318,-25.66537,-4.772211,13.631788
-395.0133,138.57507,29.594948,74.70262,-12.515266,-46.064877,-8.59662,-35.42524,-23.61803,-1.1034423,-21.76278,-13.8561945,1.6706582
-367.9846,132.90305,17.881086,71.25964,-25.644028,-34.123108,-6.315231,-44.643738,-19.162613,7.53032,-24.535831,-24.781496,-14.272808
-347.79016,128.47945,7.315218,61.095543,-30.29871,-16.189825,-6.25732,-51.802567,-19.812706,21.55326,-21.836422,-29.265057,-18.954845
-343.5599,133.12045,3.0948238,51.18393,-33.524586,-4.8057823,-5.9159775,-65.8539,-18.956165,29.201878,-12.106472,-19.947283,-23.399227
-350.55,139.43822,12.367067,42.476433,-36.071465,0.6836475,0.19181183,-67.513855,-20.981398,24.06644,-6.2322216,-4.182991,-30.75846
-375.2333,141.54877,34.051823,38.102615,-26.742744,4.4006495,-0.091614276,-56.057602,-25.031921,13.363896,-5.3734674,10.343946,-28.015697
-410.31613,140.26376,46.852715,31.692837,-7.1915903,3.1784315,-14.996475,-44.428246,-19.673037,19.491207,3.4695,8.366127,-26.017673
-434.00797,135.94885,47.312134,37.875793,7.13835,3.3314104,-18.65644,-31.209671,-10.161524,16.344788,12.121027,-1.5381515,-23.134113
-445.65097,127.67212,40.991913,41.656204,8.831106,-4.393196,-14.849085,-20.998936,-3.718195,19.476076,9.009971,-9.604769,-13.737344
-461.44885,112.995575,47.02747,45.239197,8.171622,-5.2257533,-9.192465,-10.566634,-4.357478,18.513796,-3.2354755,-9.449879,-2.5102673
-467.25046,100.80132,43.07102,41.00154,-0.3852668,-5.3520355,-5.0917263,-15.608185,-20.233128,7.903842,2.2333438,8.680615,2.110985
-380.62323,147.634,36.749725,23.593527,-29.18229,-4.2682323,-4.1637006,-46.023182,-48.04592,9.013456,17.222555,23.035208,-17.202747
-324.02182,157.08151,21.969795,21.796082,-50.276104,-1.667104,6.7511625,-55.748577,-51.157074,17.152454,17.097332,23.579082,-30.71881
-304.48657,150.83212,2.3694284,20.305408,-55.229904,1.678188,12.052782,-58.07905,-41.44571,24.028038,19.833649,17.546513,-39.25795
-287.5329,147.6325,-15.0654125,21.480743,-59.084156,0.20830023,14.27739,-61.097527,-38.737595,21.033772,21.233162,13.8902025,-44.6209
-282.5442,140.64334,-27.930592,25.264889,-63.250336,-10.21758,17.359495,-61.485092,-39.516396,23.893444,19.07663,13.446487,-40.389336
-288.05457,136.4281,-27.58155,21.955801,-62.059746,-12.531683,23.131075,-56.459568,-46.620327,37.522217,17.474752,13.424141,-33.11493
-294.19162,136.30573,-22.648195,18.613216,-57.145805,-7.1145587,19.548744,-58.14337,-52.0663,47.060043,16.58084,5.9914823,-25.847797
-303.08588,133.9642,-20.732132,21.563864,-48.357323,-9.978527,16.017832,-48.61618,-51.666298,45.967133,18.858776,6.578581,-21.723007
-304.41534,135.09947,-18.192009,25.28518,-42.556885,-15.910131,10.0530615,-35.591713,-48.78724,34.26751,19.450106,12.099705,-25.34077
-301.84518,147.80511,-22.802235,21.424835,-32.965652,-15.726886,4.0151453,-34.337025,-43.31803,16.571941,15.154629,17.883965,-25.194908
-318.95493,157.43008,-24.448925,15.517425,-11.862822,-8.8792515,-7.8461466,-36.51037,-43.680267,1.024744,14.649862,15.171991,-13.530247
-335.28317,157.41074,-19.683033,13.326693,1.2657988,-8.496636,-8.548063,-25.348274,-48.545975,-1.5770421,9.218172,11.226332,-5.1847477
